stage_name,full_name,date_of_birth,group,country,birthplace,gender,instagram
Bobby,Kim Jiwon,1995-12-21,iKON,South Korea,Seoul,M,
Haeyoon,Park Haeyoon,1996-01-10,Cherry Bullet,South Korea,,F,
Sungwoon,Ha Sungwoon,1994-03-22,Wanna One,South Korea,Goyang,M,
Yuna,Lee Yuna,1993-04-06,Brave Girls,South Korea,Seoul,F,
Yuna,Seo Yuna,1992-12-30,AoA,South Korea,Busan,F,yn_s_1230
Yuna,Shin Yuna,2003-12-09,ITZY,South Korea,Suwon,F,
Han Hyeri,Han Hyeri,1997-08-24,I.B.I,South Korea,Gwangmyeong,F,soh_eee
Saebom,Kim Saerok,1997-01-30,NATURE,South Korea,,F,
Saebom,Kim Seyoung,1995-01-13,Favorite,South Korea,Gwacheon,F,
Suga,Min Yoongi,1993-03-09,BTS,South Korea,Daegu,M,
Choa,Heo Minjin,1990-07-12,Crayon Pop,South Korea,Seoul,F,
Choa,Park Choa,1990-03-06,,South Korea,Incheon,F,queenchoa_
Wonjun,Lee Wonjun,2002-03-08,E'LAST,South Korea,,M,
Zhou Mi,Zhou Mi,1986-04-19,Super Junior-M,China,Wuhan,M,
Seohyun,Seo Joohyun,1991-06-28,SNSD,South Korea,Seoul,F,seojuhyun_s
Yeowool,Ha Yeowool,1998-04-11,Purplebeck,South Korea,,F,
Won,Park Sungwon,2003-12-18,Ciipher,South Korea,Seoul,M,
Exy,Chu Sojung,1995-11-06,Cosmic Girls,South Korea,Busan,F,exy_s2
Red,Lee Heejin,1991-07-10,Pungdeng-E,South Korea,Daegu,F,
Dohee,Min Dohee,1994-09-25,Tiny-G,South Korea,,F,
Dohee,Yoon Dohee,1999-09-24,,South Korea,,F,
Dayun,Kim Dayun,2000-11-20,Bonus Baby,South Korea,,F,
Kwangjin,Kwon Kwangjin,1992-08-12,N.Flying,South Korea,Seoul,M,
Wish,Kwak Dawit,2002-06-11,EPEX,South Korea,,M,
Jia,Guo Jiajia,2005-07-30,TRI.BE,China,,F,
Jia,Meng Jia,1989-02-03,miss A,China,Changja,F,mjbaby0203
Jia,Yoon Jia,2004-01-16,mimiimiii,South Korea,Incheon,F,
Yeso,Lee Yeso,2001-11-13,G-reyish,South Korea,,F,
Jei,Kim Jinhee,1989-09-05,Fiestar,South Korea,Bucheon,F,kimjeii
Inho,Hwang Inho,1993-06-21,IN2IT,South Korea,,M,
Hayun,Choi Hayun,2004-01-16,Hi-L,South Korea,Seoul,F,
Hayun,Lee Hayun,1994-08-29,,South Korea,Changwon,F,hayoon.y
Hyeju,Hong Hyeju,2003-12-09,CLASS:y,South Korea,Seoul,F,
Taemin,Lee Taemin,1993-07-18,SHINee,South Korea,Seoul,M,
Minkyung,Kang Minkyung,1990-08-03,Davichi,South Korea,Goyang,F,
Uchae,Yu Hyejun,2002-05-07,NATURE,South Korea,,F,
Hwanwoong,Yeo Hwanwoong,1998-08-26,Oneus,South Korea,,M,
Jeongseung,Park Jeongseung,2002-05-20,D-CRUNCH,South Korea,,M,
Gyehyeon,Jo Gyehyeon,1999-05-14,Verivery,South Korea,,M,
Vivian,Park Sunghee,1998-12-08,Gate9,South Korea,,F,vivian__g9
Yonghwa,Jung Yonghwa,1989-06-22,CNBLUE,South Korea,Seoul,M,
Ayno,Noh Yoonho,1996-05-01,VAV,South Korea,,M,
Kookheon,Kim Kookheon,1997-04-15,B.O.Y,South Korea,,M,
Gunmin,Lee Gunmin,1994-10-03,B.I.G,South Korea,Gangwon,M,
Sora,Sakata Sora,2003-08-30,woo!ah!,Japan,,F,
Rona,Chang Ching,2002-06-05,ILY:1,Taiwan,Taipei,F,
Hyorin,Kim Hyojung,1990-12-11,SISTAR,South Korea,,F,xhyolynx
Dongpyo,Son Dongpyo,2002-09-09,Mirae,South Korea,,M,
Casper,Chu Xiaoxiang,1991-03-20,CROSS GENE,China,Shanghai,M,
Heo Chan,Heo Chan,1995-12-14,,South Korea,,M,
CNU,Shin Dongwoo,1991-06-16,B1A4,South Korea,Seoul,M,
Kokoro,Kato Kokoro,2000-11-01,,Japan,,F,
Juhyeon,Lee Juhyeon,2004-04-08,LIGHTSUM,South Korea,,F,
Asahi,Hanada Asahi,2001-08-20,Treasure,Japan,,M,
Hina,Nagai Hina,2003-04-07,LIGHTSUM,Japan,Kanagawa,F,
L.Joe,Lee Byunghun,1993-11-23,,South Korea,Gunsan,M,
Suhyun,Choi Hyunggeun,1992-10-01,SNUPER,South Korea,Bucheon,M,
Hwiyoung,Kim Youngkyun,1999-05-11,SF9,South Korea,,M,
Junseong,Choi Junseong,2002-09-29,Ghost9,South Korea,,M,
Hyunjun,Bae Hyunjun,2003-06-06,ATBO,South Korea,Seoul,M,
Hyunjun,Lee Hyunjun,1999-12-21,IZ,South Korea,,M,
Haerin,Kang Haerin,2006-05-15,NewJeans,South Korea,Gimcheon,F,
Minhyuk,Kang Minhyuk,1991-06-28,CNBLUE,South Korea,Ilsan,M,
Minhyuk,Kim Minhyuk,1999-11-06,D-CRUNCH,South Korea,,M,
Minhyuk,Lee Minhyuk,1993-11-03,MONSTA X,South Korea,,M,
Jiwon,Heo Jiwon,2000-09-04,Cherry Bullet,South Korea,,F,
Jiwon,Park Jiwon,1998-03-20,fromis_9,South Korea,,F,
Jiwon,Yang Jiwon,1988-04-05,UNI.T,South Korea,Seoul,F,
Nancy,Nancy Mcdonie,2000-04-13,MOMOLAND,South Korea,Daegu,F,
Haeri,Jung Haeri,1997-01-14,P.O.P,South Korea,Seoul,F,
Haeri,Lee Haeri,1985-02-14,Davichi,South Korea,Seoul,F,
Gon,Kim Seongjung,1998-11-13,ARGON,South Korea,,M,
Yan An,Yan An,1996-10-25,PENTAGON,China,Shanghai,M,
Yijeong,Jang Yijeong,1993-09-10,HISTORY,South Korea,Jinju,M,
Soyoung,Yoo Soyoung,1996-03-29,,South Korea,Seoul,F,ssossolovely
Daesung,Daesung,1989-04-26,BIGBANG,South Korea,Incheon,M,
Woojoo,Kim Sangyoon,1996-09-18,14U,South Korea,,M,
Woojoo,Kim Woojoo,1996-08-12,Wassup,South Korea,,F,
Hyeongseok,Chu Hyeongseok,2000-09-13,Astin,South Korea,,M,
Johnny,John Seo,1995-02-09,NCT,USA,Chicago,M,
DY,Jeon Doyum,2002-02-21,JUST B,South Korea,Daejeon,M,
Jehyun,Moon Jehyun,1999-04-20,OMEGA X,South Korea,,M,
Ellyn,Bang Sunhee,2002-10-19,Girlkind,South Korea,,F,
P-Goon,Park Sehyuk,1991-10-18,,South Korea,Seoul,M,
Jenny,Lee Soyul,1996-09-04,,South Korea,Seoul,F,
Seungho,Yang Seungho,1987-10-16,MBLAQ,South Korea,Seoul,M,
Lutan,Choi Gyeongseok,2003-12-06,BLITZERS,South Korea,,M,
Siwon,Choi Siwon,1986-04-07,Super Junior,South Korea,Seoul,M,
Kiseop,Lee Kiseop,1991-01-17,U-KISS,South Korea,Seongnam,M,
Yixuan,Zhou Yixuan,1990-12-11,UNIQ,China,,M,
Hyunsik,Lim Hyunsik,1992-03-07,BtoB,South Korea,Ilsan,M,
Solbin,Ahn Solbin,1997-08-19,LABOUM,South Korea,Ojeonggu,F,
Hyunsoo,Jang Hyunsoo,2003-09-16,TNX,South Korea,,M,
Hyunsoo,Kim Hyunsoo,1995-04-12,D1CE,South Korea,,M,
G.NA,Gina Jane Choi,1987-09-13,,Canada,Edmonton,F,missginachoi87
Jea,Kim Hyojin,1981-09-18,Brown Eyed Girls,South Korea,,F,jeaworld
Dowoon,Yoon Dowoon,1995-08-25,DAY6,South Korea,,M,
Sulli†,Choi Jinri,1994-03-29,,South Korea,Busan,F,
Eunkwang,Seo Eunkwang,1990-11-22,BtoB,South Korea,Yongin,M,
Hyeoeun,Lee Hyoeun,1993-03-16,Stellar,South Korea,Seoul,F,
Henry,Henry Lau,1989-10-11,Super Junior-M,Canada,Toronto,M,
D.ana,Cho Eunae,1995-09-10,Sonamoo,South Korea,Seoul,F,
Wooyoung,Jang Wooyoung,1989-04-30,2PM,South Korea,Busan,M,
Wooyoung,Jung Wooyoung,1999-11-26,ATEEZ,South Korea,,M,
BM,Matthew Kim,1992-10-20,KARD,South Korea,,M,
Lucas,Wong Junghei,1999-01-25,NCT,Hong Kong,,M,
Mijoo,Lee Mijoo,1994-09-23,Lovelyz,South Korea,Okcheon,F,
Prince,Pasidh Vataniyapromote,2003-01-10,Ghost9,Thailand,,M,
SinB,Hwang Eunbi,1998-06-03,VIVIZ,South Korea,Cheongju,F,
Sojin,Hong Sojin,1999-09-24,Hashtag,South Korea,,F,
Sojin,Jo Sojin,1991-10-11,9Muses,South Korea,Gwangju,F,josojin_1011
Sojin,Park Sojin,1986-05-21,Girl's Day,South Korea,Daegu,F,ssozi_sojin
Yebin,Baek Yebin,1997-07-13,DIA,South Korea,Chuncheon,F,
Yebin,Kim Yebin,2004-11-01,HOT ISSUE,South Korea,,F,
Suyeon,Ji Suyeon,1997-04-20,Weki Meki,South Korea,,F,
Tina,Christine Joy Park,1994-09-01,Blady,USA,Los Angeles,F,nuhmootina
Chenle,Zhong Chenle,2001-11-22,NCT,China,Shanghai,M,
K.Me,Na Miri,1992-04-10,BADKIZ,South Korea,Yeosu,F,k.me93
Winwin,Dong Sicheng,1997-10-28,NCT,China,Zhejiang,M,
Lex,Jeon Hyungmin,1993-01-12,Bigflo,South Korea,,M,
Jackie,Kang Chaeyeon,2001-11-17,ICHILLIN',South Korea,Los Angeles,F,
Yellow,Kim Eunbi,1993-05-05,Pungdeng-E,South Korea,Seoul,F,
Sihyeon,Kang Sihyeon,1998-07-15,ARIAZ,South Korea,,F,
Sihyeon,Kim Sihyeon,1999-08-05,Everglow,South Korea,,F,
Woohee,Bae Woohee,1991-11-21,Dal Shabet,South Korea,Busan,F,
Vernon,Choi Hansol,1998-02-18,Seventeen,USA,New York,M,
Baek Seung,Kim Hyunwoo,2004-10-05,EPEX,South Korea,Seoul,M,
Anne,Lee Seoyoung,2000-10-17,GWSN,South Korea,,F,
Eunbin,Kwon Eunbin,2000-01-06,CLC,South Korea,Seoul,F,
JM,Chu Jimin,2001-10-11,JUST B,South Korea,,M,
Yeonho,Ju Yeonho,2000-05-31,Verivery,South Korea,,M,
LE,Ahn Hyejin,1991-12-10,EXID,South Korea,Cheonan,F,x_xellybabyx
Tzuyu,Chou Tzuyu,1999-06-14,Twice,Taiwan,Tainan,F,
Minhyun,Hwang Minhyun,1995-08-09,NU'EST,South Korea,Busan,M,
Vahn,Kim Jungwoo,1999-05-07,NINE.i,South Korea,,M,
Jerrry,Ahn Sohyun,1992-08-27,Tahiti,South Korea,Seoul,F,
Seokyoung,Kim Seokyung,1999-04-16,GWSN,South Korea,,F,
Jiyeon,Park Jiyeon,1993-06-07,T-ara,South Korea,Seoul,F,jiyeon2__
Yoohyeon,Kim Yoohyeon,1997-01-07,Dreamcatcher,South Korea,Incheon,F,
High.D,Kim Dohee,1996-12-21,Sonamoo,South Korea,Suwon,F,
TAG,Son Youngtaek,1998-04-13,Golden Child,South Korea,,M,
TAG,Yeom Taekyun,2002-09-30,Ciipher,South Korea,,M,
Soojin,Lee Soojin,2001-12-12,Weeekly,South Korea,,F,
Soojin,Seo Soojin,1998-03-09,,South Korea,,F,
Leo,Hayase Leo,2002-10-08,T1419,Japan,,M,
Leo,Jung Taekwon,1990-11-10,VIXX,South Korea,Seoul,M,
Bain,Song Byeonghee,2001-05-04,JUST B,South Korea,,M,
Fatou,Fatou Samba,1995-03-23,Blackswan,Belgium,Yoff,F,
LuA,Jo Hankyeung,1991-09-14,BADKIZ,South Korea,Busan,F,
Mir,Bang Cheolyong,1991-03-10,MBLAQ,South Korea,Bukhamyeon,M,
Mir,Lee Yoonsang,2000-03-06,Astin,South Korea,,M,
Changjo,Choi Jonghyun,1995-11-16,Teen Top,South Korea,Chuncheon,M,
Jiung,Choi Jiwoong,2001-10-07,P1Harmony,South Korea,,M,
Green,Kim Jiwon,1997-07-01,RedSquare,South Korea,Daegu,F,
Way,Heo Minsun,1990-07-12,Crayon Pop,South Korea,Seoul,F,baysunny
Yves,Ha Sooyoung,1997-05-24,LOONA,South Korea,,F,
Keonhee,Lee Keonhee,1998-06-27,Oneus,South Korea,,M,
Eunjae,Kwak Eunjae,1996-05-02,14U,South Korea,,M,
Hyerin,Jeong Hyerin,2007-04-12,tripleS,South Korea,,F,
Hyerin,Kim Hyerin,1993-06-13,2EYES,South Korea,Seoul,F,hyelyn0723
Hyerin,Seo Hyerin,1993-08-23,EXID,South Korea,Gwangju,F,hyeliniseo
Youngjae,Choi Youngjae,1996-09-17,GOT7,South Korea,Mokpo,M,
Youngjae,Yoo Youngjae,1994-01-24,B.A.P,South Korea,Seoul,M,
Joohyoung,Kim Joohyoung,2003-03-15,NINE.i,South Korea,,M,
YY,Kim Moonyong,1991-08-30,UNVS,South Korea,,M,
Woori,Go Woori,1988-02-22,Rainbow,South Korea,Jeonju,F,
Minwoo,Ha Minwoo,1990-09-06,ZE:A,South Korea,Yangsan,M,
Minwoo,Lee Minwoo,1979-07-28,Shinhwa,South Korea,Namwon,M,
Minwoo,No Minwoo,1995-07-31,Boyfriend,South Korea,Anyang,M,
Eson,Kim Jungmin,1996-12-28,We In The Zone,South Korea,Honolulu,M,
Daewang Nim,Daewang Nim,1996-04-08,Pink Fantasy,South Korea,,F,
Love,Park Jisung,1994-01-17,,South Korea,,M,
Kid,Kim Junhoe,1995-10-26,VARSITY,South Korea,,M,
Chaebin,Choi Yoobin,1999-07-28,NATURE,South Korea,,F,
Rei,Naoi Rei,2004-02-03,IVE,Japan,,F,
Minhwan,Choi Minhwan,1992-11-11,FTISLAND,South Korea,Seoul,M,
Jiu,Kim Minji,1994-05-17,Dreamcatcher,South Korea,Daejeon,F,
Myungji,Kim Myungji,1997-10-09,Tiny-G,South Korea,,F,
Benji,Baek Jaewook,1992-05-03,B.I.G,USA,Indianapolis,M,
Hyunwook,Ji Hyunwook,1998-07-01,D-CRUNCH,South Korea,,M,
Sohee,Kim Sohee,2003-08-14,Rocket Punch,South Korea,,F,
Sohee,Uhm Sohee,2004-01-01,ICHILLIN',South Korea,,F,
Subin,Jung Subin,1999-04-05,VICTON,South Korea,,M,
Subin,Oh Subin,1998-09-30,Hashtag,South Korea,,F,
Subin,Park Subin,1994-02-12,Dal Shabet,South Korea,Gwangju,F,
Jangjun,Lee Jangjun,1997-03-03,Golden Child,South Korea,,M,
Riho,Jin Seungwook,1998-03-01,VARSITY,South Korea,Incheon,M,
Seunghyub,Lee Seunghyub,1992-10-31,N.Flying,South Korea,Daegu,M,
Chansung,Hwang Chansung,1990-02-11,2PM,South Korea,Seoul,M,
Zuny,Kim Joomi,1994-12-08,Ladies' Code,South Korea,Gwangju,F,
Juhyun,Cha Juhyun,2000-04-01,Bling Bling,South Korea,,F,
Jaeyun,Lee Jaeyun,2000-08-16,TOO,South Korea,,M,
Isaac,Voo Isaak,1994-12-12,IN2IT,Malaysia,,M,
Jeno,Lee Jeno,2000-04-23,NCT,South Korea,,M,
Hyunmin,Byun Hyunmin,1999-04-17,,South Korea,,M,bhm__99
Suji,Lee Suji,1998-03-20,UNI.T,South Korea,Busan,F,
Mino,Song Minho,1993-03-30,WINNER,South Korea,Yongin,M,
MK,Park Minkyun,1995-11-16,ONF,South Korea,Ilsan,M,
Hyunwoong,Kim Hyunwoong,1998-02-08,14U,South Korea,,M,
Dahyun,Jeong Dahyun,2005-04-29,Rocket Punch,South Korea,,F,
Dahyun,Kim Dahyun,1998-05-28,Twice,South Korea,Seongnam,F,
D1,Jang Dongil,1998-02-15,DKB,South Korea,,M,
Junhyuk,Choi Junhyuk,1992-04-21,HOTSHOT,South Korea,Ulsan,M,
Junhyuk,Lee Junhyuk,2000-05-16,Mirae,South Korea,Seoul,M,
Chaerin,Park Chaerin,2003-03-31,ICHILLIN',South Korea,,F,
Sojung,Lee Sojung,1993-09-03,Ladies' Code,South Korea,Wonju,F,
Euijin,Hong Euijin,1996-10-08,Sonamoo,South Korea,Gwangju,F,
Euijin,Lee Euijin,1990-02-15,Bigflo,South Korea,Seoul,M,
Uji,Jang Yuji,1991-01-02,,South Korea,,F,yudi_didi
Hyungwon,Chae Hyungwon,1994-01-15,MONSTA X,South Korea,Gwangju,M,
Hojoon,Jeon Hojoon,1992-10-31,Topp Dogg,South Korea,Gwangju,M,
Junho,Cha Junho,2002-07-09,DRIPPIN,South Korea,,M,
Junho,Lee Junho,1990-01-25,2PM,South Korea,Ilsan,M,
Seungyoon,Cho Seungyoon,1996-08-05,UNIQ,South Korea,,M,
Leeteuk,Park Jeongsu,1983-07-01,Super Junior,South Korea,Seoul,M,
Timoteo,Kim Moongyu,1993-01-25,HOTSHOT,South Korea,,M,
Yerim,Jeong Yerim,1997-03-10,Purplebeck,South Korea,,F,
Juri,Takahashi Juri,1997-10-03,Rocket Punch,Japan,,F,
Sieun,Lee Sieun,1993-09-19,CHECKMATE,South Korea,,F,
Sieun,Park Sieun,2001-08-01,STAYC,South Korea,Seoul,F,
Loudi,Won Jihoon,1996-04-13,14U,Indonesia,,M,
MJ,Kim Myungjun,1994-03-05,ASTRO,South Korea,Nowon,M,
Bian,Yu Jiwon,2001-02-13,MAJORS,South Korea,,F,
C.A.P,Bang Minsoo,1992-11-04,Teen Top,South Korea,Seongnam,M,
Rie,Lee Seungho,1996-11-06,OnlyOneOf,South Korea,,M,
Seongmin,Ahn Seongmin,2003-08-01,CRAVITY,South Korea,,M,
Shownu,Son Hyunwoo,1992-06-18,MONSTA X,South Korea,,M,
U-Know Yunho,Jung Yunho,1986-02-06,TVXQ,South Korea,Gwangju,M,
Mingi,Son Mingi,1999-08-09,ATEEZ,South Korea,,M,
Dita,Dita Karang,1996-12-25,SECRET NUMBER,Indonesia,Yogyakarta,F,
Henny,Kang Gayoung,1994-12-01,,South Korea,,F,
Woono,Song Wonho,2003-04-05,YOUNITE,South Korea,,M,
Do-A,Choi Yuna,1999-02-02,ALICE,South Korea,,F,
Solji,Heo Solji,1989-01-10,EXID,South Korea,Seongnam,F,soul.g_heo
Han,Han Jisung,2000-09-14,Stray Kids,South Korea,Incheon,M,
Mu,Suh Kyungmin,2003-09-14,EPEX,South Korea,,M,
Thunder,Park Sanghyun,1990-10-07,,South Korea,Busan,M,
Taewoong,Yoo Taewoong,1994-05-24,SNUPER,South Korea,,M,
Yuta,Nakamoto Yuta,1995-10-26,NCT,Japan,Osaka,M,
Sion,Kim Sion,2004-10-19,YOUNITE,South Korea,,M,
Sakang,Jeon Sakang,2002-10-26,TheEastLight,South Korea,,M,
Chanyong,Kim Chanyong,1993-04-29,100%,South Korea,Suwon,M,
Belle,Jin Hyeonjoo,2001-11-03,Cignature,South Korea,Goyang,F,
Ara,Lee Yunji,2002-01-23,ILY:1,South Korea,,F,
Eunsang,Lee Eunsang,2002-10-26,YOUNITE,South Korea,,M,
Sunwoo,Choi Sunwoo,1992-03-12,Boys Republic,South Korea,Seoul,M,
Sunwoo,Kim Sunwoo,2000-04-12,The Boyz,South Korea,,M,
Hoshi,Kwon Soonyoung,1996-06-15,Seventeen,South Korea,Namyangju,M,
Uee,Kim Yujin,1988-04-09,,South Korea,Daegu,F,
Miryo,Jo Mihye,1981-11-02,Brown Eyed Girls,South Korea,,F,miryoakajohoney
Joshua,Hong Jisoo,1995-12-30,Seventeen,USA,Los Angeles,M,
Yiren,Wang Yiren,2000-12-29,Everglow,China,,F,
E-tion,Lee Changyoon,1994-12-24,ONF,South Korea,Jeonju,M,
Kahi,Park Jiyoung,1980-12-25,,South Korea,Daegu,F,imisskahi
Lee Haein,Lee Haein,1992-07-04,I.B.I,South Korea,Changwon,F,
B.S,Lee Youngsoo,1995-04-14,14U,South Korea,,M,
Shinye,Kam Yerim,2004-03-07,MAJORS,South Korea,,F,
Dami,Hong Dayoung,2001-06-07,ANS,South Korea,,F,
Dami,Lee Yoobin,1997-03-07,Dreamcatcher,South Korea,Seoul,F,
Kichun,Hwang Kichun,1992-03-14,,South Korea,,M,
Eunjun,Choi Eunjun,1999-08-06,Spectrum,South Korea,,M,
Heeseung,Lee Heeseung,2001-10-15,ENHYPEN,South Korea,,M,
Yura,Kim Ahyoung,1992-11-06,Girl's Day,South Korea,Ulsan,F,yura_936
Choyeon,Kim Choyeon,2001-08-01,bugAboo,South Korea,,F,
U-Si,Yoo Jiyeon,1997-11-13,BADKIZ,South Korea,Iksan,F,_u_si
Vari,Jae Hyun,2000-09-03,NINE.i,South Korea,,M,
Narin,Lee Narin,2001-10-29,Bling Bling,South Korea,,F,
Lee Soo,Jin Isoo,2001-06-27,PRECIOUS,South Korea,Incheon,F,
Onew,Lee Jinki,1989-12-14,SHINee,South Korea,Gwangmyeong,M,
Woosung,Choi Sunghyuk,1994-09-24,SNUPER,South Korea,Seoul,M,
Siyeon,Lee Siyeon,1995-10-01,Dreamcatcher,South Korea,Daegu,F,
Jaekyung,Kim Jaekyung,1988-12-24,Rainbow,South Korea,Seoul,F,
Jinha,Kim Jinha,2003-11-21,TRI.BE,South Korea,,F,
Junkyu,Kim Junkyu,2000-09-09,Treasure,South Korea,,M,
Noah,Hwang Seundae,1998-03-18,CHECKMATE,South Korea,,M,
Noah,Song Yubin,2000-08-02,T1419,South Korea,,M,
Kairi,Imai Kairi,2003-02-24,T1419,Japan,,M,
Euaerin,Lee Hyemin,1988-05-03,,South Korea,Seoul,F,
Dongmyeong,Son Dongmyeong,2000-01-20,Onewe,South Korea,,M,
Sangwoo,Kim Sangwoo,2002-09-03,JUST B,South Korea,,M,
ChaeY,Song Chaeyeon,2003-01-06,CRAXY,South Korea,,F,
Kyujin,Jang Kyujin,2006-05-26,NMIXX,South Korea,,F,
Dongjun,Hwang Dongjun,1999-09-07,,South Korea,,M,
Dongjun,Kim Dongjun,1992-02-11,ZE:A,South Korea,Busan,M,
Sunghyuk,Seo Sunghyuk,1999-08-26,,South Korea,,M,sunghyuk_seo
Bin,Kwon Soobin,1993-10-28,Hot Blood Youth,South Korea,,M,
Suil,Ma Suil,1999-03-30,Luminous,South Korea,Gwangju,M,
Yuvin,Song Yuvin,1998-04-28,B.O.Y,South Korea,,M,
Kyungil,Song Kyungil,1987-11-28,HISTORY,South Korea,,M,
Chuu,Kim Jiwoo,1999-10-20,LOONA,South Korea,Cheongju,F,
Rubin,Lee Haejoon,1995-08-16,1TEAM,South Korea,,M,
Cya,Lee Giwook,2000-01-24,Onewe,South Korea,,M,
Yeseul,Kim Yeseul,2004-03-24,Hi-L,South Korea,,F,
Donghae,Lee Donghae,1986-10-15,Super Junior,South Korea,Mokpo,M,
Doi,Kim Doi,1994-04-12,FANATICS,South Korea,,F,
Hyunjin,Hwang Hyunjin,2000-03-20,Stray Kids,South Korea,Seoul,M,
Hyunjin,Kim Hyunjin,2000-11-15,LOONA,South Korea,Jeonju,F,
Sungjoo,Kim Sungjoo,1994-02-16,UNIQ,South Korea,,M,
Layeon,Lee Jimin,1998-08-13,Purplebeck,South Korea,,F,
Yoshi,Kanemoto Yoshinori,2000-05-15,Treasure,Japan,Kobe,M,
Jiae,Kim Jiae,1995-10-31,Wassup,South Korea,,F,
Jiae,Yoo Jiae,1993-05-21,Lovelyz,South Korea,Seoul,F,
BC,Jin Sungho,1994-07-18,1TEAM,South Korea,,M,
Mire,Su Mire,2006-03-26,TRI.BE,Japan,,F,
Jihyun,Nam Jihyun,1990-01-09,4minute,South Korea,Seoul,F,njh9019
N,Cha Hakyeon,1990-06-30,VIXX,South Korea,Changwon,M,
Sunmi,Lee Sunmi,1992-05-02,Wonder Girls,South Korea,Iksan,F,miyayeah
Hyewon,Kang Hyewon,1999-07-05,IZ*ONE,South Korea,Yangsan,F,
Lea,Ogawa Mizuki,1995-08-12,SECRET NUMBER,Japan,Tokyo,F,
Nakta,Shin Yooncheol,1993-04-24,,South Korea,Daegu,M,
Tao,Hwang Zitao,1993-05-02,,China,Qingdao,M,
Sorn,Chonnasorn Sajakul,1996-11-18,CLC,Thailand,Bangkok,F,
Felix,Lee Youngbok,2000-09-15,Stray Kids,South Korea,Sydney,M,
Jiho,Jang Jiho,2004-08-10,NINE.i,South Korea,Gyeonggi,M,
Jiho,Kim Jiho,1997-04-04,Oh My Girl,South Korea,Okcheon,F,
Jinhwa,Choi Jinhwa,2002-01-15,BLITZERS,South Korea,,M,
B.I,Kim Hanbin,1996-10-22,,South Korea,Goyang,M,
Hajeong,Lee Hajeong,1997-09-23,,South Korea,,F,sunghyuk_seo
Songyee,Park Songyee,2004-09-25,,South Korea,,F,
Yooa,Yoo Siah,1995-09-17,Oh My Girl,South Korea,Seoul,F,
Yeonjoo,Song Yeonjoo,1997-06-26,P.O.P,South Korea,Ansan,F,
Sejun,Lim Sejun,1996-05-04,VICTON,South Korea,,M,
Somin,Jang Somin,1993-11-10,BADKIZ,South Korea,Gwangmyeon,F,somin.92
Somin,Jeon Somin,1996-08-22,KARD,South Korea,Seoul,F,
Chaeryeong,Lee Chaeryeong,2001-06-05,ITZY,South Korea,Yongin,F,
Sungjin,Park Sungjin,1993-01-16,DAY6,South Korea,,M,
O.V,Kim Sanchan,1999-01-03,D-CRUNCH,South Korea,,M,
Seungchan,Kang Seungchan,2003-01-01,Newkidd,South Korea,,M,
Bada,Kim Bada,2002-05-28,Hinapia,South Korea,,F,
Moonvok,Jang Moonvok,1995-04-11,Limitless,South Korea,,M,
Wooyeon,Park Jinkyung,2003-02-11,woo!ah!,South Korea,,F,
Bona,Kim Jiyeon,1995-08-19,Cosmic Girls,South Korea,Daegu,F,
Hyunoh,Park Hyunoh,1999-02-12,D-CRUNCH,South Korea,,M,
Cyan,Lee Chaeeun,2001-04-04,bugAboo,South Korea,Sanbon,F,
Segye,Shin Segye,1998-08-19,AREAL,South Korea,,F,
G-Dragon,Kwon Jiyong,1988-08-18,BIGBANG,South Korea,Seoul,M,
Yurim,Park Yurim,1998-04-13,3YE,South Korea,,F,
Rowoon,Kim Seokwoo,1996-08-07,SF9,South Korea,,M,
Jooan,Im Jimyoung,1996-10-04,We In The Zone,South Korea,Dongtan,M,
Yuqi,Song Yuqi,1999-09-23,(G)I-DLE,China,Beijing,F,
Kady,Gu Dokyoung,1995-04-07,Gate9,South Korea,Busan,F,kady_g9
Yookyung,Seo Yookyung,1993-03-15,,South Korea,,F,
Wheein,Jung Wheein,1995-04-17,Mamamoo,South Korea,Jeonju,F,
Soeun,Bang Soeun,2005-12-10,TRI.BE,South Korea,,F,
Soeun,Park Soeun,2002-10-26,Weeekly,South Korea,,F,
Seunghun,Kim Seunghun,1999-02-26,CIX,South Korea,,M,
Youngeun,Seo Youngeun,2004-12-27,Kep1er,South Korea,,F,
Bekah,Rebecca Kim,1989-08-11,,South Korea,Honolulu,F,
Yujeong,Kim Yujeong,1992-02-14,,South Korea,Seoul,F,
Yujeong,Lee Yujeong,2004-06-14,LIGHTSUM,South Korea,,F,
Yujeong,Nam Yujeong,1991-05-02,Brave Girls,South Korea,Seoul,F,
Jason,Kim Byeongkwan,1996-08-13,A.C.E,South Korea,Seoul,M,
Yel,Han Shinyoung,2004-12-25,H1-KEY,South Korea,,F,
Junseo,Hwang Junseo,2001-01-16,DKB,South Korea,,M,
Junseo,Kim Junseo,2001-11-20,WEi,South Korea,Ulsan,M,
Junseo,Park Junseo,2001-12-28,BAE173,South Korea,,M,
Yongseok,Choi Yongseok,1996-05-23,CHECKMATE,South Korea,,M,
Yongseok,Kim Yongseok,1993-01-08,CROSS GENE,South Korea,Seoul,M,
Jaehan,Kim Jaehan,1995-07-01,OMEGA X,South Korea,,M,
Xin,Wang Xinwi,1996-11-10,VARSITY,China,,M,
Lee Jin,Shim Yerin,2001-03-12,Hi-L,South Korea,,F,
Amber,Amber Josephine Liu,1992-09-18,f(x),USA,Los Angeles,F,ajol_llama
